Bckg run,scaled low sigma X,scaled up sigma X,scaled low sigma Y,scaled up sigma Y,scaled low sigma Z,scaled up sigma Z
11035,0.245,1.124,0.234,1.083,0.000,5.177
11038,0.252,1.192,0.224,1.275,0.000,5.000
11040,0.252,1.211,0.243,1.063,0.000,5.000
11042,0.233,1.056,0.233,0.996,0.000,5.000
11044,0.238,1.083,0.219,1.101,0.000,5.000
11046,0.234,1.062,0.211,1.260,0.000,5.000
11048,0.245,1.144,0.232,1.142,0.000,5.089
11050,0.251,1.178,0.232,1.296,0.000,5.000
11052,0.257,1.212,0.218,1.180,0.000,4.929
11054,0.244,1.117,0.239,1.103,0.000,5.000
11073,0.236,1.223,0.240,1.190,0.000,24.237
11078,0.254,1.065,0.250,1.183,0.000,6.968
11081,0.277,1.254,0.261,1.299,0.000,6.968
11083,0.270,1.213,0.258,1.273,0.000,6.968
11086,0.271,1.240,0.265,1.359,0.000,6.968
11089,0.268,1.193,0.265,1.166,0.000,6.862
11091,0.262,1.159,0.258,1.105,0.000,6.862
11093,0.275,1.254,0.269,1.140,0.000,6.862
11108,0.262,1.179,0.249,1.064,0.000,8.457
11110,0.263,1.172,0.255,1.112,0.000,8.369
11113,0.260,1.166,0.255,1.285,0.000,8.546
11115,0.256,1.125,0.242,1.190,0.000,8.457
11117,0.265,1.206,0.248,1.071,0.000,8.457
11120,0.257,1.139,0.246,1.050,0.000,8.369
11132,0.263,1.193,0.234,1.209,0.000,8.014
11134,0.252,1.091,0.229,1.149,0.000,8.014
11149,0.256,1.145,0.247,1.277,0.000,7.677
11153,0.256,1.125,0.254,1.312,0.000,7.500
11205,0.261,1.172,0.252,1.091,0.000,3.511
11208,0.263,1.193,0.255,1.152,0.000,3.599
11210,0.266,1.213,0.261,1.259,0.000,3.511
11218,0.263,1.193,0.256,1.312,0.000,3.511
11223,0.260,1.166,0.254,1.338,0.000,3.511
11225,0.254,1.131,0.250,1.298,0.000,3.404
11227,0.263,1.206,0.237,1.182,0.000,3.511
11230,0.257,1.152,0.245,1.064,0.000,3.511
11241,0.266,1.239,0.238,1.190,0.000,3.511
11245,0.260,1.179,0.243,1.044,0.000,3.511
11250,0.260,1.159,0.227,1.092,0.000,3.404
11252,0.263,1.206,0.225,1.092,0.000,3.404
11254,0.261,1.193,0.231,1.092,0.000,3.511
11281,0.268,1.253,0.251,1.098,0.000,3.245
11284,0.265,1.226,0.253,1.325,0.000,3.245
11286,0.266,1.239,0.242,1.244,0.000,3.245
11289,0.278,1.361,0.263,1.226,0.000,3.245
11293,0.257,1.158,0.247,1.084,0.000,3.245
11296,0.263,1.233,0.266,1.333,0.000,3.245
11298,0.266,1.239,0.249,1.311,0.000,3.245
11300,0.259,1.172,0.248,1.111,0.000,3.245
11304,0.260,1.179,0.244,1.204,0.000,3.245
11306,0.251,1.125,0.235,1.182,0.000,3.245
11308,0.259,1.172,0.233,1.181,0.000,3.245
11310,0.257,1.152,0.231,1.181,0.000,3.245
11313,0.258,1.185,0.246,1.317,0.000,3.245
11315,0.269,1.266,0.245,1.077,0.000,3.245
11317,0.255,1.158,0.247,1.084,0.000,3.245
11319,0.261,1.212,0.249,1.331,0.000,3.245
11321,0.261,1.212,0.241,1.271,0.000,3.138
11339,0.257,1.179,0.258,1.292,0.000,2.979
11341,0.262,1.219,0.251,1.151,0.000,2.872
11343,0.255,1.158,0.245,1.237,0.000,2.979
11344,0.490,0.958,0.401,1.303,0.000,0.513
11347,0.257,1.219,0.248,1.338,0.000,2.979
11353,0.247,1.124,0.236,1.063,0.000,2.979
11358,0.236,1.070,0.231,1.069,0.000,2.872
11361,0.241,1.090,0.231,1.056,0.000,2.872
11367,0.240,1.116,0.230,1.096,0.000,2.784
11375,0.249,1.144,0.236,1.136,0.000,3.138
11378,0.246,1.130,0.237,1.083,0.000,2.979
11381,0.243,1.103,0.208,1.090,0.000,2.979
11384,0.248,1.171,0.233,1.129,0.000,2.872
11393,0.246,1.117,0.236,1.063,0.000,3.138
11398,0.234,1.049,0.219,1.101,0.000,3.138
11402,0.235,1.056,0.226,1.008,0.000,3.050
11404,0.238,1.103,0.218,1.028,0.000,3.138
11406,0.235,1.056,0.222,0.988,0.000,3.138
11408,0.233,1.043,0.221,1.021,0.000,3.050
11411,0.214,0.907,0.187,0.977,0.000,3.404
11419,0.216,0.940,0.200,1.199,0.000,3.599
11422,0.217,0.914,0.203,1.199,0.000,3.511
11424,0.216,0.940,0.201,0.973,0.000,3.511
11426,0.213,0.894,0.214,1.340,0.000,3.511
11430,0.211,0.900,0.184,0.971,0.000,3.511
11433,0.212,0.907,0.184,0.977,0.000,3.404
11435,0.215,0.934,0.187,1.097,0.000,3.404
11437,0.215,0.954,0.197,0.959,0.000,3.404
11439,0.213,0.913,0.193,1.151,0.000,3.404
11456,0.211,0.934,0.194,0.965,0.000,3.333
11459,0.214,0.961,0.215,1.347,0.000,3.245
11461,0.214,0.947,0.200,1.212,0.000,3.333
11463,0.216,0.961,0.209,1.293,0.000,3.245
11467,0.196,1.000,0.198,1.199,0.000,3.245
11470,0.217,1.094,0.199,1.205,0.000,3.245
11472,0.210,0.926,0.194,1.178,0.000,3.245
11476,0.188,0.910,0.189,0.924,0.000,3.245
11478,0.206,0.893,0.200,0.892,0.000,3.138
11510,0.209,0.920,0.190,1.145,0.000,3.138
11517,0.202,0.879,0.185,1.097,0.000,3.138
11519,0.205,0.886,0.199,1.226,0.000,3.138
11521,0.192,0.884,0.192,1.158,0.000,3.138
11523,0.205,0.880,0.183,1.083,0.000,3.138
11528,0.217,1.054,0.179,1.010,0.000,3.138
11533,0.209,0.940,0.203,1.259,0.000,3.138
11535,0.204,0.893,0.187,1.118,0.000,3.138
11538,0.204,0.899,0.188,1.124,0.000,3.138
11540,0.206,0.933,0.186,1.104,0.000,3.138
11542,0.213,0.974,0.179,0.990,0.000,3.138
11544,0.233,1.236,0.189,1.131,0.000,3.050
11546,0.208,0.993,0.190,1.145,0.000,3.050
11549,0.205,0.926,0.189,1.111,0.000,3.050
11552,0.209,0.940,0.206,1.266,0.000,3.050
11554,0.209,0.940,0.213,1.347,0.000,3.050
11556,0.206,0.893,0.189,1.137,0.000,3.050
11560,0.204,0.893,0.192,1.145,0.000,3.050
11563,0.208,0.933,0.191,0.958,0.000,3.050
11565,0.208,0.907,0.189,1.137,0.000,2.979
11567,0.207,0.960,0.178,0.943,0.000,3.050

