xs,ys,Es,nXs,nYs
-8.6647568,22.650322,5.3472936,4,4
-9.8777443,-22.872419,3.4624015,2,3
-21.486336,8.3246687,2.8494623,2,2
13.407676,-17.678928,8.6284691,3,4
19.568993,10.277564,5.1763529,5,5
-14.45526,-10.6347,1.5224411,3,2
-22.747531,15.870804,1.2589048,2,2
-20.511314,19.019729,1.6834528,3,3
-21.917868,7.5413207,3.5096146,3,2
-20.59293,15.34931,1.2495152,2,2
23.637856,1.249558,1.2822736,3,3
-22.175768,6.910122,8.099113,6,4
-21.889838,-17.257456,8.9404224,3,3
9.7050378,18.932073,5.146299,5,5
-22.909286,10.082646,6.9207327,5,5
8.0220762,17.865846,0.82707018,2,2
24.084688,-20.592636,2.1213875,3,4
24.111295,1.5810831,3.3448354,4,5
20.650336,16.264103,8.1723888,6,6
24.971615,16.100435,1.4130426,3,2
4.9486703,15.442892,8.8350958,5,6
-13.517514,21.876546,1.9914152,3,2
-2.6654664,9.3177368,8.7694322,6,6
24.668364,17.981268,3.0062707,4,3
23.221927,-19.359208,10.230893,4,5
7.2562772,5.8185168,2.8289585,4,4
-16.890965,13.290323,8.9588925,3,2
-9.471972,4.3871426,6.7346016,5,4
-21.693125,24.231078,3.0339195,4,5
-21.131045,-21.755495,4.9384309,5,5
12.497228,19.015219,9.0986705,5,4
20.791096,-3.8942386,1.8941036,4,3
20.984246,13.279657,2.3130771,3,4
23.995034,-21.313561,1.1530508,2,3
-2.2651974,-21.942823,3.3905444,2,3
-19.557769,-21.510509,1.5718686,3,4
15.702979,-17.217958,2.5651169,3,4
-20.018488,18.340077,2.4375019,3,4
-19.643597,9.2330372,9.4312118,6,7
-16.971196,-23.412731,2.3491289,3,3
26.697675,-4.7969488,2.8676246,2,3
3.6215851,-22.497048,4.0998322,5,5
2.9632014,23.878199,2.4184992,3,4
22.083188,7.1241352,4.9179647,5,5
1.3884282,-14.742763,8.0122307,3,3
19.002186,22.488815,4.283846,5,4
-18.718443,-9.6964513,8.4609771,6,5
7.271425,-18.155434,8.5569497,4,5
-21.41778,1.5943589,1.3099315,2,3
-13.444213,-16.635397,8.4953383,5,6
23.490638,16.140771,0.88330924,2,2
-22.496606,21.503873,1.6068974,3,3
-22.443204,-24.846184,4.274243,3,3
5.6139115,20.550931,4.8537032,5,6
20.005828,19.86784,1.3625676,3,2
-0.098669923,7.4550613,10.024508,4,4
-22.981092,-22.212783,2.5232274,5,3
