x	y	z	zMean
21.45	36.375	0	0
21.45	36.475	0	0
21.45	36.575	0	0
21.45	36.675	0	0
21.45	36.775	0	0
21.45	36.875	0	0
21.45	36.975	0	0
21.45	37.075	0	0
21.45	37.175	0	0
21.45	37.275	0	0
21.45	37.375	0	0
21.45	37.475	0	0
21.45	37.575	0	0
21.45	37.675	0	0
21.45	37.775	0	0
21.45	37.875	0	0
21.45	37.975	0	0
21.45	38.075	0	0
21.45	38.175	0	0
21.45	38.275	0	0
21.45	38.375	0	0
21.45	38.475	0	0
21.45	38.575	0	0
21.45	38.675	0	0
21.45	38.775	0	0
21.45	38.875	0	0
21.45	38.975	0	0
21.45	39.075	0	0
21.45	39.175	0	0
21.45	39.275	0	0
21.45	39.375	0	0
21.45	39.475	0	0
21.45	39.575	0	0
21.45	39.675	0	0
21.45	39.775	0	0
21.45	39.875	0	0
21.45	39.975	0	0
21.55	20.075	0	0
21.55	20.175	0	0
21.55	20.275	0	0
21.55	20.375	0	0
21.55	20.475	0	0
21.55	20.575	0	0
21.55	20.675	0	0
21.55	20.775	0	0
21.55	20.875	0	0
21.55	20.975	0	0
21.55	21.075	0	0
21.55	21.175	0	0
21.55	21.275	0	0
21.55	21.375	0	0
21.55	21.475	0	0
21.55	21.575	0	0
21.55	21.675	0	0
21.55	21.775	0	0
21.55	21.875	0	0
21.55	21.975	0	0
21.55	22.075	0	0
21.55	22.175	0	0
21.55	22.275	0	0
21.55	22.375	0	0
21.55	22.475	0	0
21.55	22.575	0	0
21.55	22.675	0	0
21.55	22.775	0	0
21.55	22.875	0	0
21.55	22.975	0	0
21.55	23.075	0	0
21.55	23.175	0	0
21.55	23.275	0	0
21.55	23.375	0	0
21.55	23.475	0	0
21.55	23.575	0	0
21.55	23.675	0	0
21.55	23.775	0	0
21.55	23.875	0	0
21.55	23.975	0	0
21.55	24.075	0	0
21.55	24.175	0	0
21.55	24.275	0	0
21.55	24.375	0	0
21.55	24.475	0	0
21.55	24.575	0	0
21.55	24.675	0	0
21.55	24.775	0	0
21.55	24.875	0	0
21.55	24.975	0	0
21.55	25.075	0	0
21.55	25.175	0	0
21.55	25.275	0	0
21.55	25.375	0	0
21.55	25.475	0	0
21.55	25.575	0	0
21.55	25.675	0	0
21.55	25.775	0	0
21.55	25.875	0	0
21.55	25.975	0	0
21.55	26.075	0	0
21.55	26.175	0	0
21.55	26.275	0	0
21.55	26.375	0	0
21.55	26.475	0	0
21.55	26.575	0	0
21.55	26.675	0	0
21.55	26.775	0	0
21.55	26.875	0	0
21.55	26.975	0	0
21.55	27.075	0	0
21.55	27.175	0	0
21.55	27.275	0	0
21.55	27.375	0	0
21.55	27.475	0	0
21.55	27.575	0	0
21.55	27.675	0	0
21.55	27.775	0	0
