xs,ys,Es
-18.144657,-18.334995,5.9607207
25.661747,-16.590904,1.6659966
17.509272,-0.85139579,1.5584681
-18.644161,23.664483,1.3688578
1.9982185,20.368758,3.2327306
-19.994648,-17.37427,1.9079346
17.549504,20.298014,2.9548029
-13.856828,-18.985631,1.4511459
-3.1598631,-17.8136,2.6440256
-8.4830269,12.843231,1.3722137
-4.2866729,11.846474,8.9330798
-20.208371,-17.06965,8.782101
-19.541721,12.772458,1.8521241
-19.503826,7.4702086,2.9464173
25.591606,16.548448,1.1603907
21.698653,10.436978,9.3494847
24.887348,-9.8681572,2.6501689
19.42076,19.87039,9.5062255
-11.64051,11.806837,4.1171394
13.19802,2.6590849,8.874095
22.152754,-11.673937,1.5968956
23.598269,4.1880624,3.3778465
10.247987,-20.122522,8.768044
-23.150076,-18.381652,8.9836237
21.778632,-19.420113,2.8213158
25.719474,-7.3479061,2.4136574
-22.349943,15.318047,1.7995969
-17.505497,-21.101658,1.2529774
-12.97322,-18.017534,8.0012174
-3.3874445,2.6959026,7.8251445
10.674348,-18.505909,4.8794191
5.5180029,12.657505,2.0443255
21.184391,-6.5685231,8.9216518
-14.252785,20.548701,2.567591
14.238987,-23.622777,1.0488783
18.026422,8.2108373,6.287745
-8.2765387,-21.878566,0.992516
-22.120256,9.0778692,1.1707169
6.3625704,20.836434,2.0205362
-7.9892955,-14.007643,8.4070188
-4.2903306,24.514986,2.9798626
-19.078555,-20.843046,2.0286799
3.6662614,23.56572,1.4060499
10.538687,-22.891187,1.4133447
-18.231208,3.9738957,1.0000602
-14.044223,24.203975,5.291831
21.653154,-0.58101092,3.1619944
23.96529,20.448223,4.0153287
-2.0205242,-14.000972,3.0818578
-9.3873904,-14.024786,9.4743241
-20.228852,-16.656257,1.7644976
23.289662,-22.6274,0.90165683
-14.333633,24.992308,2.2406805
7.6930418,14.124016,9.2120466
-12.772726,-22.950903,1.8991047
-21.237462,14.160809,0.86940704
-16.025123,-3.9043815,1.6737349
17.889078,15.30387,9.1394988
-21.994422,-10.379653,1.1109405
-7.5343115,-22.259744,2.2451053
-23.375805,-23.824636,3.331487
13.914918,-24.409096,0.84888952
-15.947778,-14.289968,3.0981318
-9.6327014,-22.285559,1.4439031
24.852237,17.76248,3.0993471
-7.9267727,23.897828,2.7050989
1.1151966,21.985849,11.211378
-23.490557,-7.5971992,2.5094792
12.669118,19.3598,9.7558695
22.788009,-15.088287,6.9699658
25.896387,-8.8434951,2.188972
8.9110783,10.702896,9.7686687
-19.590746,19.741325,4.3796129
-10.471926,23.909199,1.8901757
21.205312,22.175828,2.264926
-23.256109,-8.3669334,1.9239753
-23.345806,15.382135,6.250318
-23.178121,-14.853598,2.5131297
-14.499924,-8.372452,7.7698039
-21.243256,10.640858,0.7924958
-18.823476,22.25794,1.905086
-4.6260328,-0.19472596,1.9041169
-2.8150228,3.5028498,6.0825528
-7.7773598,-16.54201,3.3252995
4.4730939,-20.822971,4.4886395
-23.214187,-12.391159,8.2499498
-23.786522,-18.701286,1.6066744
20.987684,18.615507,1.6272942
25.464086,10.385478,0.96953628
24.30067,18.404156,1.1289805
25.849471,-9.4546253,7.8193833
6.5884767,-17.917419,3.6165343
5.9232126,4.0744162,7.1556534
10.647374,-16.423407,3.428096
11.474704,11.737001,6.5448267
0.93641795,-9.8979087,10.617871
16.767317,10.41793,1.2017073
3.0668855,16.569428,8.3415697
24.439885,1.6081761,1.5997267
-22.269876,9.8786711,1.2759554
-14.052877,-5.826389,3.0076909
-15.222819,22.687344,1.6259491
6.288531,-18.118676,2.9641236
-23.328547,-22.001971,1.8586741
-19.233776,-12.165928,2.5108817
2.3700294,-1.8415907,10.71928
-13.794133,-21.55534,2.8296442
-12.21954,-21.872557,5.0976206
-0.77577137,23.083811,1.4455329
-16.501585,21.580796,0.92459091
-6.9312564,-2.8440804,11.134096
-14.712986,20.37238,0.8678491
-15.973418,-20.37339,1.0249524
5.5884153,20.252752,1.3352176
-7.5855345,10.267628,7.1905344
-19.853118,9.9520222,5.5334425
-23.208341,1.0165109,7.3665246
4.0415137,22.438109,0.94478224
25.50312,3.8600798,1.2365357
-19.781617,-8.7835243,7.3996568
26.323324,-0.15192841,1.043626
13.857121,-11.776044,3.0490725
-20.759976,-20.158469,1.5796076
20.163867,-20.946663,2.1037942
4.513252,-22.147008,1.0158109
-15.807895,-18.22318,1.2450451
-10.71363,-23.586901,1.0058492
-20.006655,19.31893,1.2961881
18.497864,22.126932,1.577807
-12.557376,23.49511,1.604694
19.982679,-21.892041,4.6149059
-16.210608,23.57652,1.6667854
-17.926108,-14.663611,5.7706077
-9.1663419,21.873867,2.8047146
21.728935,-23.616129,0.82012651
-17.656541,-6.5167048,1.7435469
25.543899,13.628954,2.1632444
-8.4049529,-21.31806,2.0134246
16.82676,20.393451,1.3095798
24.799586,-2.150518,1.1189965
24.112345,-22.037683,2.5704502
-16.355489,-19.670907,1.5251254
16.778703,-5.6437169,8.4992639
-4.9955069,-19.707874,2.1592351
-21.333227,21.259177,1.1890324
-23.482167,-19.855125,1.7561273
26.052254,0.17843106,0.98922452
23.71733,22.847309,2.2318485
19.467011,1.3455367,2.8537149
19.06437,25.39129,3.4407979
-22.394127,-3.5553479,2.4292348
-12.291172,-20.11219,1.7484084
22.524453,-22.850946,1.3614093
-15.713128,23.941599,1.2466408
-8.9732714,1.3518631,5.6451795
10.536112,21.172501,2.2233535
-19.142248,8.7773385,1.5375336
21.795081,11.470311,1.5999775
-3.3976203,-19.915981,5.2530171
2.6661914,1.6102273,8.8962313
-20.730038,-18.76482,8.432429
-6.5267192,20.335244,1.1397009
-15.857168,-13.533148,2.0962887
-24.461682,-17.386877,1.1048216
21.481777,-15.73748,3.5084822
0.55315932,-17.637707,2.2986297
1.6341377,-14.532572,2.209461
18.290213,-13.880844,2.2144869
10.476783,18.283448,7.2596321
-23.836917,26.123658,2.6638251
3.8126367,-17.112581,1.9635468
-6.3166645,-16.112843,5.4409378
20.462454,5.4092179,3.2931592
-4.1633205,24.388317,2.830601
15.437275,-9.1921144,8.7598998
-20.463345,12.131048,4.3921313
11.973483,18.215936,2.9091968
-4.611062,24.429193,2.276868
1.87876,17.594502,8.2808247
-16.005798,18.990094,1.8629267
5.7585532,15.525354,7.3096519
25.888735,9.5912999,3.2871018
-16.510661,23.455622,5.7645838
2.80428,-6.2673397,7.3202096
14.912287,-22.064218,2.2897175
-13.495595,13.408337,10.978279
1.2608909,16.239007,6.0873393
-21.763781,-10.10122,3.492701
-2.0669987,-23.353542,2.2350106
24.448698,17.208211,1.8475146
-4.7490745,-21.095688,1.1871084
-15.722636,-18.233772,3.2239568
3.034006,-15.311776,3.551851
9.429974,21.142612,1.1445931
1.7008145,15.437076,3.2919874
-3.4969416,-18.715351,8.7613439
24.709809,-20.27488,2.1669211
-7.5944527,-4.5835425,2.2715439
19.909301,-17.135117,2.2521681
-23.74445,-22.178812,0.96357632
-18.665208,20.378431,1.90738
24.387769,-9.4953342,2.4878477
-14.506627,-14.624905,1.3493764
-9.6730114,21.791711,2.5624346
-20.259543,-15.089404,1.1177809
11.905266,-14.812083,9.0047255
14.958193,23.380701,2.6741787
13.597764,-6.7011994,10.88871
-16.524013,18.047198,8.3023254
-24.366587,-13.836535,1.0766301
-8.4250444,-2.9322652,2.6690006
13.453393,23.832696,8.1604036
20.061731,-15.136329,8.5485224
-22.78536,-16.117327,1.7009082
-21.688386,7.3241242,1.6220054
25.141747,9.1825814,1.6324229
11.878976,-4.8252764,8.4149021
-13.742389,22.629326,1.5988386
-4.4712746,-11.517112,2.3315083
-1.3661574,1.3713689,7.9611477
16.778086,-17.219404,1.604122
23.272634,18.344452,1.7929202
-22.672004,16.218253,6.564202
1.5534332,-20.47905,2.3963486
17.233978,4.3618618,3.6460818
25.116905,-8.6316377,9.772515
-16.332237,-20.270745,5.6742722
6.7073376,18.288822,1.3889816
-22.683194,-20.86924,1.3412097
6.7226431,12.743608,3.9489048
-10.216489,8.2674204,8.2424384
-20.475839,-6.7563728,5.2184944
12.215402,-17.840809,3.59199
14.834989,14.711362,6.7623625
11.982309,20.098402,1.2826711
7.708875,-21.461805,1.6569348
0.39290908,22.743427,1.4094896
-20.214388,-10.743637,2.319534
-14.208283,12.974536,3.018556
3.6426829,2.1308123,4.9884465
25.591542,13.205813,1.4820148
-21.129713,-23.187114,8.6109482
-5.5308444,-19.982973,1.766165
-16.637083,12.625337,1.9260737
25.827618,7.6847425,1.3690087
9.6952192,-6.3238467,5.8869919
6.2824633,15.202277,8.2980333
18.483535,7.3633419,4.8930428
-8.9704394,-21.569798,1.8247599
1.4951332,-21.856451,1.5531816
2.3122996,20.348138,2.9530636
9.9700461,16.132117,1.1978802
-14.415947,-22.889911,1.5774466
-1.9401477,-10.514764,8.8888607
6.9678303,15.364471,7.8906046
-22.014997,1.7544695,2.747497
-18.499934,20.641636,3.5712402
-18.0982,18.595862,5.3727356
7.8743636,-21.908044,1.476576
22.964903,-12.56835,1.3422169
-16.041896,-21.764506,3.3201957
-13.74775,-22.787844,3.064053
-2.2363051,-20.948342,2.7017142
-21.849364,-5.7834436,2.9164517
-7.2554741,-21.473852,2.692578
18.730672,-22.651452,1.979037
-22.864727,3.5667044,1.5956973
25.713864,10.90976,3.7413976
25.741716,14.994026,2.6932619
-20.85331,22.726702,2.759589
13.114139,-21.891158,2.1684802
-9.9565152,-19.80951,2.6756037
-18.400302,17.8617,1.6024723
-22.901663,-22.205875,1.6512214
-20.809644,18.453024,1.707318
-20.1782,21.518245,2.5036376
10.806732,16.088896,1.7431343
20.802487,-14.190956,2.9451069
1.3310058,17.553375,2.1443823
1.3034305,0.23721005,8.2838375
15.070941,-19.846945,5.8630023
-23.135107,17.103487,3.7575011
1.1409883,22.815219,1.2896876
7.2140471,-23.381164,1.8642219
7.8806652,-23.374282,1.5551273
22.80896,6.8194907,2.5018511
-5.1339484,-20.395357,1.642784
19.931322,-15.033495,9.0723419
-10.521533,22.377036,1.6100924
-22.002035,-9.753306,3.5816031
-19.422777,-16.899689,1.7850217
-21.168824,-17.042106,11.803393
2.9494371,-18.490109,8.343269
-17.910525,-21.196044,3.6405628
-10.020054,17.465412,1.4748287
17.467288,-13.717463,2.736321
-6.6003161,19.6682,7.9717868
-5.1376574,24.385525,6.3957208
13.743986,8.6102762,8.5389119
-5.4139584,-10.600095,9.1519164
21.124414,6.6306201,2.9853784
18.156686,-18.153071,3.4124906
-14.500452,24.245555,2.8007821
20.158485,-6.9356183,10.344899
14.430232,-17.91233,2.5280611
15.722042,-23.710536,2.7992956
-23.139,-23.304036,4.1407346
-7.9422792,16.429835,6.0906404
22.121758,-11.654754,3.9840017
-23.260977,-20.958523,3.7621453
17.832002,-12.5745,2.7177517
2.5693856,-3.967978,3.0553934
-19.825175,-22.842561,1.0948073
-24.128857,-15.986665,3.0792181
0.61958492,14.676869,6.9254156
4.0976636,16.76519,5.385683
24.290839,20.451558,5.5751548
-1.8871422,21.559982,3.1102283
18.236029,14.785766,8.0682608
-16.694765,-17.7471,5.1770762
12.284548,18.073889,2.9626844
10.164328,-12.972987,4.1984616
8.2071812,23.573023,1.3257309
10.741708,20.365667,3.2882861
-1.8522974,-3.3223156,7.4579197
23.566997,19.9017,1.8901655
-19.09697,-2.027126,2.4585506
-15.104774,24.181148,3.4466774
2.8113928,-24.238489,2.9034931
-14.839559,19.14677,2.1915553
-18.72392,-20.480537,11.05636
-15.40266,-18.266119,3.9446927
11.905578,23.784982,3.0106767
-16.239942,2.8226004,3.105694
24.575925,-3.1173336,8.1990383
-21.99955,6.3652329,1.9074521
15.985395,-21.30339,3.4524202
-23.179225,10.813488,2.731287
14.27154,5.993548,4.4226788
1.6855401,-22.127845,9.4329206
20.704882,16.32674,5.8695827
-22.304356,-18.683485,8.5996304
14.578945,14.578266,2.8196811
23.833216,-5.4309258,1.5160127
7.514755,-21.722298,2.2079539
-15.900054,7.45989,7.9349798
-25.048308,-6.2512766,6.4782424
-18.928487,-2.1772536,2.3216602
-21.024018,-6.2789468,1.2329615
17.626662,4.3859558,2.5227382
-12.176575,19.294299,8.6087441
21.096914,19.130979,1.5813983
-1.5136022,-13.18002,9.4140489
-19.354524,-23.342685,1.7915912
-14.273646,17.137822,2.5845165
-8.4491938,15.948344,7.6006202
-17.282079,13.319477,3.2531105
12.927421,18.320023,8.7236938
18.194701,18.940048,1.9953576
-2.0971435,-21.67865,9.930158
-21.402335,7.4109626,9.3156258
26.075789,0.61343691,1.7119186
1.0393325,-16.286385,1.2428888
23.443012,-21.123694,2.8589115
-6.1984631,-18.092228,3.1986458
13.189924,-16.888748,4.3465039
4.3684698,4.6522917,6.8209781
9.9845003,14.340164,5.6414131
12.840536,-19.599878,3.1679123
26.158336,-12.391631,4.0196465
5.4960619,-19.428286,3.6388638
-0.15031437,-21.169523,2.7446714
-8.6647568,22.650322,5.3472936
-9.8777443,-22.872419,3.4624015
-21.486336,8.3246687,2.8494623
13.407676,-17.678928,8.6284691
19.568993,10.277564,5.1763529
-14.45526,-10.6347,1.5224411
-22.747531,15.870804,1.2589048
-20.511314,19.019729,1.6834528
-21.917868,7.5413207,3.5096146
-20.59293,15.34931,1.2495152
23.637856,1.249558,1.2822736
-22.175768,6.910122,8.099113
-21.889838,-17.257456,8.9404224
9.7050378,18.932073,5.146299
-22.909286,10.082646,6.9207327
8.0220762,17.865846,0.82707018
24.084688,-20.592636,2.1213875
24.111295,1.5810831,3.3448354
20.650336,16.264103,8.1723888
24.971615,16.100435,1.4130426
4.9486703,15.442892,8.8350958
-13.517514,21.876546,1.9914152
-2.6654664,9.3177368,8.7694322
24.668364,17.981268,3.0062707
23.221927,-19.359208,10.230893
7.2562772,5.8185168,2.8289585
-16.890965,13.290323,8.9588925
-9.471972,4.3871426,6.7346016
-21.693125,24.231078,3.0339195
-21.131045,-21.755495,4.9384309
12.497228,19.015219,9.0986705
20.791096,-3.8942386,1.8941036
20.984246,13.279657,2.3130771
23.995034,-21.313561,1.1530508
-2.2651974,-21.942823,3.3905444
-19.557769,-21.510509,1.5718686
15.702979,-17.217958,2.5651169
-20.018488,18.340077,2.4375019
-19.643597,9.2330372,9.4312118
-16.971196,-23.412731,2.3491289
26.697675,-4.7969488,2.8676246
3.6215851,-22.497048,4.0998322
2.9632014,23.878199,2.4184992
22.083188,7.1241352,4.9179647
1.3884282,-14.742763,8.0122307
19.002186,22.488815,4.283846
-18.718443,-9.6964513,8.4609771
7.271425,-18.155434,8.5569497
-21.41778,1.5943589,1.3099315
-13.444213,-16.635397,8.4953383
23.490638,16.140771,0.88330924
-22.496606,21.503873,1.6068974
-22.443204,-24.846184,4.274243
5.6139115,20.550931,4.8537032
20.005828,19.86784,1.3625676
-0.098669923,7.4550613,10.024508
-22.981092,-22.212783,2.5232274
-6.8401064,-8.2459652,9.7262746
10.903019,2.9912197,9.3724941
-17.164062,-25.06225,2.8398666
-15.611225,20.055753,6.5241465
-6.220355,0.63821638,2.2485438
-23.428841,21.571393,4.8400781
-22.442729,14.505189,1.737014
-3.0667424,-17.742593,1.3797538
-22.473314,21.550138,1.8660635
-0.97527542,22.236719,1.5828179
15.112831,23.876361,2.717709
12.69354,22.41574,6.2651838
-9.2036755,-22.647713,3.044311
-18.294751,-6.1490078,8.5153591
12.452303,-18.42241,1.404504
15.359986,-17.076188,3.6853008
22.425773,-8.4714695,1.2275666
-20.295157,15.480765,9.3388294
23.65088,11.144416,1.3050023
4.321542,18.460754,2.2171946
-23.049966,18.475049,1.6939796
11.214295,-17.633421,9.1453488
21.067207,22.653891,8.7753202
-9.9037592,3.5487925,8.7819693
-9.2532232,21.69159,2.1127572
-19.981645,20.893225,2.8772621
10.811975,-17.363642,7.8112144
-22.966453,-10.136499,2.2224807
-16.57942,22.628904,4.4567522
19.927407,18.682745,1.3207906
-24.182605,-22.414048,3.5422387
-21.078083,-24.545109,3.243645
5.3985973,23.254733,2.3427094
21.288199,13.769212,3.1559082
0.0088951998,-23.05001,1.3498597
5.1981274,20.812152,3.9261687
-1.4575518,-19.813905,2.1659104
5.6574932,-20.355919,3.5419744
-22.537783,-1.3425738,2.9610891
20.286105,-13.104855,2.7784871
-5.8837421,14.142411,3.0390857
-17.48254,20.575055,4.2295406
16.230141,10.917504,5.1240753
6.0200637,1.5354299,9.3952697
1.653043,1.6224091,8.1765207
1.5608324,9.2949284,8.1082266
-19.020376,24.077308,5.1343411
-16.5068,9.0839675,10.828207
-21.949387,-22.985598,4.7898768
7.918986,23.105494,1.4785863
-9.9162916,17.078592,4.1443604
25.408238,-6.9625001,4.0803096
-0.083173194,-21.846692,2.1047997
-19.76386,-17.884184,2.520269
-20.743633,13.81644,5.1006401
13.532664,-23.313322,5.2510779
-19.048343,-22.189406,2.5080346
-21.603904,-22.122822,2.334963
20.826072,-19.399895,1.8305634
-11.48509,21.568092,1.3823894
-23.543406,-17.877954,1.3953124
12.949552,17.363418,2.5223078
12.805326,23.740024,4.0486251
-3.9790536,-5.1770481,8.676456
24.544152,3.7452257,1.5401373
5.4358781,4.6016603,5.9563656
3.6145981,-3.998205,8.2618245
-9.0139672,-1.7481606,2.2333934
9.8099905,10.518804,8.0628528
-7.0291575,-9.4288189,8.1660439
15.85661,8.1759047,0.56223787
-15.821865,5.3649836,11.291793
-6.6118368,-6.0276109,6.8973424
10.365561,1.0947729,2.3293
4.7565472,5.5400728,11.462967
10.711108,1.1047859,3.180548
5.2138845,-15.870009,2.8260787
8.7566013,-2.4200349,6.8469645
5.8930898,10.817845,5.0798502
9.7717869,9.2512335,9.8142435
1.6948033,-4.5481471,2.9961703
-12.132369,9.4747307,8.4905197
-5.8676177,2.36007,8.0434126
6.4735733,-10.19667,7.993494
5.0215053,6.2704194,8.6780221
14.519347,-6.1623315,5.4000098
-0.077441998,3.4151362,8.1433383
1.4518754,0.70647941,1.6510454
-15.583399,-14.435066,3.1701296
-1.8041498,12.839949,10.853321
8.7661398,0.83016679,4.8050967
21.000001,-19.375,1.9382323
3.5000001,0.62499997,1.6521972
24.5,-0.37499999,1.8928492
2.5346244,-21.452907,6.2081369
14.5,17.319702,3.4947845
16.180077,11.354497,4.2089718
-19.335531,-21.131341,3.4479536
8.7381044,-12.428039,11.374944
10.961639,-11.07402,11.49146
-12.5,23.625001,1.5245758
-13.21039,0.82634393,2.7182796
5.5330849,17.936025,2.7660558
-11.5,-17.875,1.4786272
25.242483,-12.375,2.0958361
13.5,-8.3749999,2.0612955
-22,-9.3749997,2.1845627
-18.434546,0.60041277,4.2242169
25.199635,21.474161,3.1702397
2.5654396,-17.284512,10.170706
-5.2504803,20.365725,2.446258
-17,14.900212,1.9404865
-6.4064402,17.583268,11.804582
-12.308808,-15.080441,9.4937648
3.3847138,19.174832,6.3726959
-11.278208,-6.0871199,4.9666608
21.674233,15.840383,6.3608446
26.499999,12.625,2.1756273
6.2241817,-21.66851,3.2263416
6.4999997,13.625,1.4790979
-14.000001,8.1250001,1.8227284
-10.256488,-15.668322,3.4085524
-10,-19.375001,1.3939292
25.814868,-1.0544113,1.3900243
-0.81198065,-8.1910754,3.5263753
-0.66651655,18.372016,7.3916137
-8.187142,1.359829,8.6789611
19.263347,6.6249999,2.2484611
24.500001,-14.875,1.6418115
10.185786,-6.2214391,10.385835
11.5,-15.375,1.8449304
21.999999,-12.375,1.3927998
-16.548894,-19.652736,3.3521291
-18,-18.375,2.06706
14.5,-19.875,1.281028
-11,4.125,1.7601567
-25.5,-16.375,2.1424465
15.990739,-4.8750001,1.9593885
-3.214917,-10.123315,6.6843221
-13,24.392316,2.2509327
20.499999,-15.375,1.5134305
25.805647,-6.6641613,3.5713782
-1.5000001,17.373633,2.1913583
18.286756,-2.3749999,2.8444025
11.5,-0.37499998,1.5795405
-18.058043,-11.033646,11.677487
-11.802833,20.124999,3.2309458
15.732645,-6.0595829,3.4384538
-4.6410913,3.0852083,10.600823
-2.010559,14.336573,8.9336973
2.8500575,-0.17448983,8.327532
24.744884,-16.709046,2.0935034
3.2881681,-10.71981,8.4192506
-23.634588,7.6856741,1.1916679
21.321471,21.342911,2.4428832
-4.7303105,-1.4793791,2.8087439
-22.380797,-23.034862,2.1483272
22.350081,-1.5927923,1.7578627
-1.0949683,24.137132,1.5169645
-8.2694459,-0.53045377,8.0931008
-18.793341,-16.610618,6.3478172
-0.8053346,-25.04913,1.8236941
25.061952,-8.9364785,2.2493403
1.6656088,-24.574699,1.9350872
12.157836,-10.157157,1.7767728
4.7385656,9.9389949,5.807476
-20.12331,22.810059,2.3087211
-19.265253,-19.696225,1.4783476
24.433691,8.577279,7.7144954
-23.570496,-5.3901337,1.9058419
-10.795043,-0.42513515,9.2531325
-17.14001,16.628491,11.01204
17.718011,7.0213602,9.6769206
-14.845769,-25.290809,1.9639038
15.270001,-0.43254177,4.571334
0.30444517,17.244489,9.6339299
22.496245,-0.21948198,4.5949872
-3.1798296,-1.3909736,10.065498
21.984901,-14.702754,6.3216446
-21.127014,13.879121,3.2751271
-20.411592,2.4026039,7.2358718
7.6057194,19.70548,11.991614
-17.947228,-6.0722671,9.2729336
10.597941,-1.7606886,9.2287561
25.031094,-12.631408,6.1991588
0.62068062,-10.516412,8.9599649
8.8941825,-13.998503,10.624382
7.2098126,6.1431186,11.262695
12.782303,-6.798508,9.9671272
17.84,-10.148791,8.8852321
4.3497386,-18.652973,7.1288569
-19.080852,-23.35515,7.5008492
-16.032044,-20.58875,8.256835
-3.2528683,-9.0220609,3.014988
1.0532036,8.3798828,4.1862198
9.6302155,5.0941326,11.099983
-22.851012,-21.004733,2.4640018
22.657956,1.6225706,2.1503519
-16.887859,18.258028,3.6747316
-8.8516792,-7.8864823,6.152447
3.1264162,-3.6405784,3.1780115
19.555693,-6.2176627,2.0646681
4.5886727,-22.495889,1.4467072
4.573068,7.6687302,9.3347763
24.214233,-23.794091,4.6878582
22.697631,17.517804,3.5359177
-9.0862022,9.1745355,3.1409616
1.9474022,-15.828148,9.9835846
9.6219745,-3.7140958,5.4296682
-7.9392111,17.304254,2.7473435
11.258328,3.1136421,5.2005387
24.583018,3.1791648,1.7300819
-8.4291373,-24.218741,2.2115183
0.43568467,-14.845987,10.435463
2.5982453,0.12256608,8.6673575
10.175958,-12.767334,4.5629011
-4.972601,-10.827848,3.2211731
-7.5412623,5.6816829,8.1107529
5.5287967,-15.468723,6.7454004
7.0899781,-9.3397254,8.3686847
7.6867807,-12.706993,8.3021514
5.1524734,-16.422668,11.972382
2.2273564,-14.630016,3.466088
25.006885,5.0627952,3.4834066
-3.3488479,2.3232579,9.4266143
20.787607,-0.045011758,2.473071
14.887201,-11.368862,8.4165502
-21.338828,25.500304,1.4497711
-17.720162,-11.951254,2.7072693
-18.417729,1.1030478,1.9398879
6.8981668,5.9253598,11.358947
17.401018,-22.990764,2.2040655
6.710498,-15.434047,8.8755675
23.143241,8.0439001,2.1557814
-16.599997,8.2575554,2.3505628
-14.403107,-15.044862,9.6109527
21.807791,-23.069261,1.5232086
-6.642344,-2.6847868,9.8311289
8.7152923,-22.885775,2.4146101
-17.810822,-7.4802546,11.854206
-0.58529192,-17.265226,5.7259744
19.47,22.473074,2.2515521
11.034587,22.183232,1.7633211
22.98833,-17.069227,2.4174281
-10.35253,-13.626985,8.4470098
-20.23791,12.204241,2.2181366
-11.969425,-5.8061289,3.7921367
-0.38530642,10.734565,4.2146137
-14.572518,-16.16618,4.2488777
3.3547115,10.989676,11.953102
-20.346133,-23.245744,1.5275193
-5.0128663,-22.158808,1.886057
-12.026621,17.651584,2.7528765
21.944435,17.47662,2.1763298
-16.523749,-20.648395,1.5621987
15.305738,-5.5647203,3.4101512
24.360161,-18.283657,1.8956095
-8.7945316,1.1060197,8.9179577
-19.921143,-4.9469631,2.4926014
22.940397,17.019588,2.2690491
7.7928526,-6.363922,7.6202288
18.80952,0.2210161,5.8417396
-10.104506,3.5807416,8.2636863
17.707478,-9.175259,8.3483699
5.0880485,-13.586185,9.7344493
-16.629111,-4.0604436,6.825407
-9.2157144,5.2439377,11.116483
-7.8631332,-1.3423508,9.8248392
-4.1276349,-18.393639,6.7572666
-1.4997698,-21.413265,8.9021758
-2.7480772,-11.217949,7.1163946
-7.7087232,-1.0873487,10.622297
18.382663,-22.235242,1.9722612
-9.5912828,-2.6448499,11.940482
-2.8456964,-19.85922,8.8794015
-21.443245,16.323794,2.2092294
1.1961986,20.668721,2.2017538
-4.9642208,-16.436361,8.504577
-5.4626235,-5.4201577,9.2260209
18.365028,-19.255078,3.2466924
1.467807,-14.391162,9.3058051
-24.072893,-0.23010193,1.8374291
