PositionX	PositionY
57.962791	60.039841
59.634000	60.934971
60.725256	55.005305
61.436157	61.454545
61.479695	55.497034
65.321903	57.307497
64.208920	56.409420
64.322467	57.327766
58.325919	57.158716
57.617925	60.892950
60.676118	55.861859
64.197844	54.185897
64.570878	55.297173
26.575276	25.699136
61.592493	59.802764
62.400700	53.883526
62.321627	53.381724
61.954689	55.685061
59.362477	60.180307
62.098323	58.622179
65.131231	55.681784
54.935233	61.810185
59.506878	55.528261
62.387380	69.734386
62.948320	55.687927
64.246872	56.255855
59.276190	51.450980
62.852650	61.436468
55.248363	13.710861
59.533333	56.721273
62.151010	55.303734
85.481727	26.378973
63.907383	57.749846
92.765339	32.933460
58.775042	99.745868
66.204625	101.627527
14.443143	38.527244
46.000000	49.649067
92.752650	59.621552
30.310531	81.039543
25.219925	84.701689
69.073724	105.133192
96.180324	97.156005
30.250597	103.994398
91.127119	88.254555
107.221675	61.558140
82.940731	81.485024
78.140220	22.283378
105.835530	100.382423
28.044317	109.800766
103.011450	31.453159
79.710053	84.586514
43.866318	34.062954
75.224652	44.872868
89.933649	87.514634
21.241461	68.414564
63.687255	60.181325
65.440497	57.250549
57.657928	58.342857
61.189460	57.963344
57.063959	63.030877
57.811003	59.759786
62.148000	61.118819
61.578495	61.616365
63.252230	54.969885
86.686293	34.931313
70.041538	56.395023
81.798146	73.324731
59.146133	55.654535
59.757496	56.366246
64.805114	56.772976
59.487475	56.487818
62.554641	54.287958
67.036051	60.366294
61.235294	61.444805
62.086235	59.728477
71.223783	27.279965
60.739702	56.582897
16.030928	37.832827
59.530921	58.450393
62.871512	58.465268
33.225989	19.783570
99.539337	70.334426
59.556550	55.537567
62.207792	54.825301
57.776903	58.341610
57.701563	59.134615
62.875309	56.909231
63.179272	57.300758
62.723340	61.206038
59.437037	98.197436
42.100746	70.661041
101.255382	69.818887
15.511691	75.510242
59.114017	60.337313
60.654049	60.465257
57.666323	61.187500
59.558531	54.562066
61.994702	58.686854
59.265600	57.319527
74.273855	25.810897
36.174545	80.776691
61.049724	61.091197
59.639930	58.640125
100.357143	82.043928
54.517888	35.570874
34.520270	89.175210
66.808279	57.608819
76.898647	55.400614
16.092643	61.028409
58.363239	45.717825
51.894046	71.004831
19.660134	46.292981
60.420664	62.958853
63.970588	62.237072
17.871069	21.307107
81.876627	57.120092
67.442602	86.395448
99.869193	47.900332
68.385456	29.370921
24.410671	71.950178
26.514060	94.383655
28.678930	69.106742
23.960600	9.840549
51.465776	69.177616
70.268628	50.128167
63.063872	57.529619
88.837662	91.451807
85.364787	15.198408
61.068602	55.811180
62.580917	56.766169
63.045872	63.431180
64.123321	57.057554
60.344394	54.887526
54.063084	63.842640
62.278100	56.878935
58.710682	57.225513
59.565462	56.187354
61.496200	54.789352
61.411681	49.312551
67.385417	56.952117
63.929914	55.747886
59.689387	40.851852
33.702429	47.791045
60.389899	56.392322
61.373108	56.393564
65.795322	57.444335
66.781278	55.453970
64.627358	56.340843
60.351515	57.358785
70.068589	46.833995
57.856913	59.438630
63.088046	56.130178
59.480668	54.981589
83.091027	91.761441
61.902488	55.128852
34.585178	37.898695
60.073669	59.446020
62.512673	58.132102
67.990164	80.143571
53.000000	103.989035
39.006479	91.091471
61.865006	60.494755
35.418814	45.746225
82.000000	90.133583
64.814907	59.376884
55.032384	55.635008
85.297372	48.000000
62.315172	59.583772
62.960550	54.574338
85.898844	67.640145
61.176834	55.763470
70.515957	63.302612
56.367521	58.412391
26.757749	94.176110
64.440171	73.947436
22.119946	15.694511
3.000000	9.000000
89.719780	80.033218
108.793769	15.808739
58.761387	90.395796
88.383091	57.648649
78.912281	88.587537
69.169533	95.497161
12.541860	30.007152
109.549342	21.916074
61.000000	13.211009
25.182796	96.390374
47.605070	57.443503
59.200868	96.610127
102.836985	63.853122
89.000000	71.451028
63.671085	56.411982
58.344211	58.977884
63.697842	57.157313
62.001253	57.287725
60.973626	60.327942
66.193008	55.091197
61.396194	60.841098
58.563991	58.734739
60.163052	57.465382
59.373529	59.108576
62.240465	53.623975
58.909091	58.122711
60.430344	57.300240
67.429897	58.358680
59.880060	58.406672
65.759783	57.190796
63.057554	68.004711
61.325549	54.798001
59.709213	93.675741
62.930516	54.033989
63.419094	57.954829
68.064118	55.925872
61.310821	54.485941
49.151650	100.378906
110.571066	103.290621
57.143988	85.534545
60.662757	60.772091
61.196328	55.878958
60.547486	54.955821
28.335097	89.195704
98.454388	37.741071
59.631162	58.190893
105.000000	23.024673
102.208976	107.916393
100.981481	107.923863
66.318248	54.230499
27.313131	84.220018
64.136646	57.371394
60.091589	64.481592
69.597772	37.379765
6.970954	14.004902
58.313474	54.699739
